week_num,game_id,team,opp,is_home,team_score,opp_score,team_win,elo_post,elo_pre,elo_change
1,2025_01_ARI_NO,ARI,NO,0,20.0,13.0,1,1524.0590035710507,,
2,2025_02_CAR_ARI,ARI,CAR,1,27.0,22.0,1,1536.8178052466515,1524.0590035710507,12.758801675600807
3,2025_03_ARI_SF,ARI,SF,0,15.0,16.0,0,1530.9814549786827,1536.8178052466515,-5.836350267968783
4,2025_04_SEA_ARI,ARI,SEA,1,20.0,23.0,0,1515.2493881033479,1530.9814549786827,-15.732066875334795
5,2025_05_TEN_ARI,ARI,TEN,1,21.0,22.0,0,1505.1648909446938,1515.2493881033479,-10.08449715865413
6,2025_06_ARI_IND,ARI,IND,0,27.0,31.0,0,1494.1883462850237,1505.1648909446938,-10.976544659670026
7,2025_07_GB_ARI,ARI,GB,1,23.0,27.0,0,1477.7340901952991,1494.1883462850237,-16.454256089724595
9,2025_09_ARI_DAL,ARI,DAL,0,27.0,17.0,1,1506.628600523711,1477.7340901952991,28.894510328411798
10,2025_10_ARI_SEA,ARI,SEA,0,22.0,44.0,0,1488.5074790739345,1506.628600523711,-18.12112144977641
11,2025_11_SF_ARI,ARI,SF,1,22.0,41.0,0,1455.6341244901864,1488.5074790739345,-32.873354583748096
12,2025_12_JAX_ARI,ARI,JAX,1,24.0,27.0,0,1442.138707629018,1455.6341244901864,-13.49541686116845
13,2025_13_ARI_TB,ARI,TB,0,17.0,20.0,0,1432.3909390555102,1442.138707629018,-9.747768573507756
14,2025_14_LA_ARI,ARI,LA,1,17.0,45.0,0,1412.2642960796693,1432.3909390555102,-20.126642975840923
15,2025_15_ARI_HOU,ARI,HOU,0,20.0,40.0,0,1400.4184399468286,1412.2642960796693,-11.845856132840709
1,2025_01_TB_ATL,ATL,TB,1,20.0,23.0,0,1483.9606642859662,,
2,2025_02_ATL_MIN,ATL,MIN,0,22.0,6.0,1,1519.2487101654403,1483.9606642859662,35.28804587947411
3,2025_03_ATL_CAR,ATL,CAR,0,0.0,30.0,0,1484.8207059292272,1519.2487101654403,-34.428004236213155
4,2025_04_WAS_ATL,ATL,WAS,1,34.0,27.0,1,1504.8812362361866,1484.8207059292272,20.060530306959436
6,2025_06_BUF_ATL,ATL,BUF,1,24.0,14.0,1,1528.1305658792999,1504.8812362361866,23.249329643113242
7,2025_07_ATL_SF,ATL,SF,0,10.0,20.0,0,1507.135392036402,1528.1305658792999,-20.995173842897884
8,2025_08_MIA_ATL,ATL,MIA,1,10.0,34.0,0,1461.1252213034052,1507.135392036402,-46.01017073299681
9,2025_09_ATL_NE,ATL,NE,0,23.0,24.0,0,1457.3840059446798,1461.1252213034052,-3.7412153587254124
10,2025_10_ATL_IND,ATL,IND,0,25.0,31.0,0,1447.4363649158254,1457.3840059446798,-9.947641028854378
11,2025_11_CAR_ATL,ATL,CAR,1,27.0,30.0,0,1431.703545567656,1447.4363649158254,-15.732819348169414
12,2025_12_ATL_NO,ATL,NO,0,24.0,10.0,1,1461.1565202302295,1431.703545567656,29.452974662573524
13,2025_13_ATL_NYJ,ATL,NYJ,0,24.0,27.0,0,1446.2635915259366,1461.1565202302295,-14.892928704292899
14,2025_14_SEA_ATL,ATL,SEA,1,9.0,37.0,0,1425.2165000795264,1446.2635915259366,-21.04709144641015
15,2025_15_ATL_TB,ATL,TB,0,29.0,28.0,1,1434.251687615977,1425.2165000795264,9.035187536450621
1,2025_01_BAL_BUF,BAL,BUF,0,40.0,41.0,0,1494.156724245818,,
2,2025_02_CLE_BAL,BAL,CLE,1,41.0,17.0,1,1521.0955864808839,1494.156724245818,26.938862235065926
