team,plays,total_yards,yards_per_play
SF,1039,6797.0,6.554484
MIA,1079,6841.0,6.34013
DET,1156,6738.0,5.8388214
BAL,1111,6313.0,5.6873875
BUF,1139,6394.0,5.623571
DAL,1162,6345.0,5.4698277
GB,1080,5891.0,5.459685
KC,1106,5999.0,5.438803
LA,1138,6127.0,5.3887424
SEA,1032,5505.0,5.355058
MIN,1113,5924.0,5.327338
PHI,1138,6036.0,5.308707
HOU,1126,5828.0,5.1758437
ATL,1115,5696.0,5.113106
NO,1135,5767.0,5.085538
CIN,1070,5440.0,5.084112
IND,1136,5748.0,5.064317
JAX,1148,5797.0,5.0540543
PIT,1045,5202.0,4.9827585
TB,1080,5346.0,4.9545875
CHI,1121,5516.0,4.9206066
ARI,1124,5526.0,4.91637
LAC,1143,5614.0,4.915937
DEN,1052,5101.0,4.8488593
WAS,1104,5327.0,4.825181
LV,1029,4943.0,4.803693
TEN,1033,4930.0,4.772507
CLE,1225,5733.0,4.68
NE,1044,4703.0,4.5047894
NYG,1092,4769.0,4.379247
NYJ,1094,4577.0,4.187557
CAR,1145,4520.0,3.9475982
